style,medal,beer,brewery,state
American-Style India Pale Lager,Ouro,Kaingang NZ Pils,Kaingang Cervejaria,SC
American-Style India Pale Lager,Prata,Faroeste India Pale Lager,Cervejaria Faroeste Beer,SC
American-Style India Pale Lager,Bronze,Patagonia IPA,Ambev,RJ
American-Style Lager,Ouro,BierHerr Pilsen Premium,BierHerr,PR
American-Style Lager,Prata,Kavalla Pilsen,Cervejaria Kavalla,PR
American-Style Lager,Bronze,Bairrista Villa,Salva Craft Beer,RS
American-Style Light Lager,Ouro,Haenschbier Light Lager,Haenschbier,SC
American-Style Light Lager,Prata,Bionda Light Lager,Bionda Industria de bebidas,SP
American-Style Light Lager,Bronze,Pilsen,OPA Bier,SC
American-Style Maerzen/Oktoberfest,Ouro,Lassberg Oktoberfest Marzen,LassBerg,SC
American-Style Maerzen/Oktoberfest,Prata,Oktoberfest Raitz Bier,Raitz Bier,SC
American-Style Malt Liquor,Ouro,Walnut Pilsen,Cervejaria Walnut,MG
American-Style Malt Liquor,Prata,Musaranho RSL Pilsen,Cervejaria Musaranho,SC
American-Style Malt Liquor,Bronze,Pilsen,Old Castle,RS
American-Style Pale Ale,Ouro,Capote do Gordo,Cervejaria Divino Malte,PR
American-Style Pale Ale,Prata,Jungle,Ruradélica Ales,RS
American-Style Pale Ale,Bronze,5 Elementos Davi & Golias,Cervejaria Turatti,CE
American-Style Pilsener,Ouro,Diva Hop Lager,Cervejaria Divino Malte,PR
American-Style Pilsener,Prata,Raymi Lager,Cervecerías Cusco,
American-Style Pilsener,Bronze,Patanegra Pilsener,Cervejaria Patanegra,PR
American-Style Sour Ale,Ouro,Hop Sour,OPA Bier,SC
American-Style Sour Ale,Prata,Patanegra Cacacu,Cervejaria Patanegra,PR
American-Style Sour Ale,Bronze,Juicy Lucy Sour,Stannis Cervejaria,SC
American-Style Stout,Ouro,American Stout com café,Cervejaria imbé,RS
American-Style Stout,Prata,Stout Querendo,Salva Craft Beer,RS
American-Style Stout,Bronze,Zebra,Ruradélica Ales,RS
American-Style Strong Pale Ale,Ouro,Hoppy Wave,Cervejaria Enigma,SC
American-Style Strong Pale Ale,Prata,Hops Switch Brew Up,Brew Up Cervejaria,RS
American-Style Strong Pale Ale,Bronze,Faroeste IPA,Cervejaria Faroeste Beer,SC
American-Style Wheat Beer,Ouro,MAHI-MAHI,Cervejaria Marlin Azul,ES
American-Style Wheat Beer,Prata,Bakery,Landel,SP
American-Style Wheat Beer,Bronze,Musaranho Juicy American Wheat hoppy 5,Cervejaria Musaranho,SC
American-Style Wheat Wine Ale,Ouro,"In ""Trigo"" We Trust!",Cervejaria Karsten,SC
American-Style Wheat Wine Ale,Prata,Bold Quitéria,Stannis Cervejaria,SC
"Australasian, Latin American or Tropical-Style Light Lager",Ouro,Petra Origem Puro Malte,Grupo Petrópolis,SP
"Australasian, Latin American or Tropical-Style Light Lager",Prata,Brasileira,OPA Bier,SC
"Australasian, Latin American or Tropical-Style Light Lager",Bronze,Brahma Chopp,Ambev,RJ
Australian-Style Pale Ale,Ouro,Golden Mist - IPA,Golden Mist,PR
Australian-Style Pale Ale,Prata,Six Six Six APA,Nefasta Cervejaria,SC
Australian-Style Pale Ale,Bronze,La Birra Australian Pale Ale,Cervejaria La Birra,SC
Baltic-Style Porter,Ouro,Solo Elza,Stannis Cervejaria,SC
Baltic-Style Porter,Prata,Singularidade,Cervejaria Três Santas,ES
Baltic-Style Porter,Bronze,Naufragados Baltic Porter,Cervejaria Kairós,SC
Bamberg-Style Bock Rauchbier,Ouro,Bacon Serenada,Hank Bier,PR
Bamberg-Style Bock Rauchbier,Prata,Salva D' Ouro Bacon,Salva Craft Beer,RS
Bamberg-Style Bock Rauchbier,Bronze,Metropolitana Rauchbock,Cervejaria Metropolitana,RS
Bamberg-Style Helles Rauchbier,Ouro,Helles Rauch,Cervejaria Almirante,SC
Bamberg-Style Helles Rauchbier,Prata,Bamberg,Hop Capital Beer,DF
Bamberg-Style Helles Rauchbier,Bronze,O Menino Sep,Cervejaria Três Santas,ES
Bamberg-Style Maerzen Rauchbier,Ouro,Ruby Rauch,Stannis Cervejaria,SC
Bamberg-Style Maerzen Rauchbier,Prata,Tio Franz,Cervejaria Três Santas,ES
Bamberg-Style Maerzen Rauchbier,Bronze,Pomerânia Rauchbier,Cervejaria pomerânia,SC
Bamberg-Style Weiss Rauchbier,Ouro,Bierbaum Weizen Rauchbier,Cervejaria Bierbaum,SC
Belgian-Style Blonde Ale,Ouro,Pedra do Camargo,Piwo Cervejaria,ES
Belgian-Style Blonde Ale,Prata,Frida Blond Ale,Cervejaria Blumenau,SC
Belgian-Style Blonde Ale,Bronze,Walnut Belgian Blond Ale,Cervejaria Walnut,MG
Belgian-Style Dubbel,Ouro,Rendez-Vous La Belle Rouge,La Belle Bière,RS
Belgian-Style Dubbel,Prata,Monnik Arnold,Cervejaria Faroeste Beer,SC
Belgian-Style Dubbel,Bronze,Mystic Morgana,Stannis Cervejaria,SC
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Ouro,Scarlett Flanders,Stannis Cervejaria,SC
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Prata,La Birra Flanders 03,Cervejaria La Birra,SC
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Bronze,La Birra Flanders 01,Cervejaria La Birra,SC
Belgian-Style Fruit Beer,Ouro,Belgian Peach,Salva Craft Beer,RS
Belgian-Style Fruit Beer,Prata,Brown Flanders com Tâmaras Refúgio,Cervejaria Refúgio,SC
Belgian-Style Fruit Beer,Bronze,Belgian Fruit Beer,Naipe Brew,MG
Belgian-Style Fruit Lambic,Ouro,Mother Gaia,Stannis Cervejaria,SC
Belgian-Style Fruit Lambic,Prata,Blende 10,Cervejaria Blumenau,SC
Belgian-Style Fruit Lambic,Bronze,Lobos Fruit Lambic,Cervejaria LB,ES
Belgian-Style Lambic,Ouro,Denker Ana Bierhaus- Lambic Classic,Cervejaria Denker,RJ
Belgian-Style Lambic,Prata,Turatti Lambic,Cervejaria Turatti,CE
Belgian-Style Lambic,Bronze,Goddess Calíope,Stannis Cervejaria,SC
Belgian-Style Quadrupel,Ouro,O Julgamento,Cervejaria Três Santas,ES
Belgian-Style Quadrupel,Prata,Sax Quadrupel,Casa do Malte,SC
Belgian-Style Quadrupel,Bronze,Walnut Quadrupel,Cervejaria Walnut,MG
Belgian-Style Session Ale,Ouro,Witbier Low Alcohol,Marchand Beer Company,SC
Belgian-Style Session Ale,Prata,Gueixa Witbier,Irmandade Cervejaria,PR
Belgian-Style Speciale Belge,Ouro,Bruges,Mills Brewery,MG
Belgian-Style Speciale Belge,Prata,Tendel Belgian Pale Ale,Cervejaria Tendel,SC
Belgian-Style Speciale Belge,Bronze,Belgian Pale Ale,Naipe Brew,MG
Belgian-Style Strong Blonde Ale,Ouro,Strong Maya,Stannis Cervejaria,SC
Belgian-Style Strong Blonde Ale,Prata,Blondie,Hank Bier,PR
Belgian-Style Strong Blonde Ale,Bronze,Vedete Saison,Irmandade Cervejaria,PR
Belgian-Style Strong Dark Ale,Ouro,Strong Dark,Hank Bier,PR
Belgian-Style Strong Dark Ale,Prata,Fradim,Cervejaria Seo Carneiro,SP
Belgian-Style Strong Dark Ale,Bronze,Mercator,Cervejaria Almirante,SC
Belgian-Style Tripel,Ouro,Tripel,Hank Bier,PR
Belgian-Style Tripel,Prata,Jordana Rebellion Tripel,Jordana Bier,PR
Belgian-Style Tripel,Bronze,Egotripel,Stannis Cervejaria,SC
Belgian-Style Witbier,Ouro,(048) Witbier,Cervejaria 048,SC
Belgian-Style Witbier,Prata,Metamorphosis Wit,Hank Bier,PR
Belgian-Style Witbier,Bronze,Golden Mist - Witbier,Golden Mist,PR
Berliner-Style Weisse,Ouro,Lassberg Berliner Weisse Frutas Vermelhas,Lassberg,SC
Berliner-Style Weisse,Prata,Barnia Berliner weisse,Barnia cervejaria,SP
Berliner-Style Weisse,Bronze,Ich liebe Berlinerweiss,Stannis Cervejaria,SC
Bohemian-Style Pilsener,Ouro,Ceres Czech Lager,Irmandade Cervejaria,PR
Bohemian-Style Pilsener,Prata,Receita Boêmia,Deu Samba Cervejaria,RJ
Bohemian-Style Pilsener,Bronze,Merecida,OPA Bier,SC
Brazilian Beer -Catharina Sour,Ouro,Sour Pitaya e Maracujá,Cervejaria Campos do Jordão,SP
Brazilian Beer -Catharina Sour,Prata,"(048) Sour Goiaba, Morango e Pitaya",Cervejaria 048,SC
Brazilian Beer -Catharina Sour,Bronze,Rubus Guava,Cervejaria 4PZ,SC
Brazilian Beer -Manipueira Selvagem,Ouro,Manipueira Lobos,Cervejaria LB,ES
Brazilian Beer -Manipueira Selvagem,Prata,Alagoas Funky Wild Safra 2022-2023,Caatinga Rocks,AL
Brazilian Beer -Manipueira Selvagem,Bronze,Alagoas Funky Wild Safra 2023-2024,Caatinga Rocks,AL
Brazilian Beer com Ervas E Especiarias,Ouro,(048) Sour Erva Mate,Cervejaria 048,SC
Brazilian Beer com Ervas E Especiarias,Prata,(048) Witbier Aroeira e Ipê roxo,Cervejaria 048,SC
Brazilian Beer com Ervas E Especiarias,Bronze,Mandacaru Atômico,Caatinga Rocks,AL
Brazilian Beer com Frutas,Ouro,Lava Negra - Açaí e Jambú,Mandica,PR
Brazilian Beer com Frutas,Prata,Slam Tart IPA,Beta Hops Brewing,SP
Brazilian Beer com Frutas,Bronze,Tropical Sour,Hank Bier,PR
"Brazilian Beer com Levedura, Malte E/Ou Lúpulo Brasileiro",Ouro,Honky Tonk Nerso,Hank Bier,PR
"Brazilian Beer com Levedura, Malte E/Ou Lúpulo Brasileiro",Prata,Clara de Fazenda 2025,Cervejaria Endemic,SC
"Brazilian Beer com Levedura, Malte E/Ou Lúpulo Brasileiro",Bronze,Dia de Colheita,Captain Brew,MG
Brazilian Beer com Madeira,Ouro,Strong Dark Amburana,Hank Bier,PR
Brazilian Beer com Madeira,Prata,Gold Amelia Wood Aged,Stannis Cervejaria,SC
Brazilian Beer com Madeira,Bronze,Astor,Rabugentos Brewing co.,RJ
Breslau-Style Schoeps,Ouro,Matka Boska,Stannis Cervejaria,SC
Brett Beer,Ouro,"Querido pasteur, te escrevo esta carta para...",Cervejaria Três Santas,ES
Brett Beer,Prata,5 Elementos Brett Beer,Cervejaria Turatti,CE
Brett Beer,Bronze,B-E.A (Brett Saison),Cervejaria Três Santas,ES
British-Style Barley Wine Ale,Ouro,Metropolitana Barley Wine,Cervejaria Metropolitana,RS
British-Style Barley Wine Ale,Prata,Karsten Barley Wine,Cervejaria Karsten,SC
British-Style Barley Wine Ale,Bronze,La Birra Barley Wine,Cervejaria La Birra,SC
British-Style Imperial Stout,Ouro,Imperial Stout,Cerveja do Funil,MG
British-Style Imperial Stout,Prata,Cosvesi Lacrimosa,Cosvesi,SP
British-Style Imperial Stout,Bronze,Damma de Copas,Cervejaria Aurora,ES
British-Style India Pale Ale,Ouro,Ipa,Naipe Brew,MG
British-Style India Pale Ale,Prata,Brux Ipa,Cervejaria Brux Beer,PR
British-Style India Pale Ale,Bronze,Alfero IPA,Cervejaria Alfero,SC
Brown Porter,Ouro,Brown Porter,Bikihr,
Brown Porter,Prata,A montanha Mágica,Cervejaria Três Santas,ES
Brown Porter,Bronze,Porter Tex Beer,Tex Beer,SP
California Common Beer,Ouro,Não sei Common,Salva Craft Beer,RS
California Common Beer,Prata,Faroeste,Piwo Cervejaria,ES
Cerveja Lupulada -Sem Álcool,Ouro,Hop Zero,Hop Capital Beer,DF
Cerveja Lupulada -Sem Álcool,Prata,Irmandade Sóbria,Irmandade Cervejaria,PR
Cervejas Ácidas -Sem Álcool,Ouro,Catharina Sour Morango e Maracujá sem álcool,OPA Bier,SC
Cervejas Lagers Claras -Sem Álcool,Ouro,"Estrella Galicia 0,0",Estrella Galicia,
Chili Pepper Beer,Ouro,"A gente queria mais pimenta, mas o Adriel não deixou.",Salva Craft Beer,RS
Chili Pepper Beer,Prata,Noite Apimentada,Cervejaria Turatti,CE
Chili Pepper Beer,Bronze,Madam Courier,Stannis Cervejaria,SC
Chocolate or Cocoa Beer,Ouro,5 Elementos Abyssal Cacau e Pistache,Cervejaria Turatti,CE
Chocolate or Cocoa Beer,Prata,Paddy's Pudding,Stannis Cervejaria,SC
Chocolate or Cocoa Beer,Bronze,Bob Nibs,Cervejaria Faroeste Beer,SC
Classic Australian-Style Pale Ale,Ouro,Lassberg Australian Pale Ale,Lassberg,SC
Classic Australian-Style Pale Ale,Prata,Classic Australian,Salva Craft Beer,RS
Classic Australian-Style Pale Ale,Bronze,La Birra Classic Australian,Cervejaria La Birra,SC
Classic English-Style Pale Ale,Ouro,Noviça Pale Ale,Irmandade Cervejaria,PR
Classic English-Style Pale Ale,Prata,838 Pale,Cervejaria Bohemia,RJ
Classic English-Style Pale Ale,Bronze,Elementum IPA,Cervejaria Imigração 1824,RS
Classic French & Belgian-Style Saison,Ouro,Saison Pitaya,Água do Monge,PR
Classic French & Belgian-Style Saison,Prata,Maneken,Armada Cervejaria,SC
Classic French & Belgian-Style Saison,Bronze,Saison,Cervejaria BERGBIER,SC
Classic Irish-Style Dry Stout,Ouro,Midnight Train,Hank Bier,PR
Classic Irish-Style Dry Stout,Prata,Carpintero Negro,Cerveza Bordelago,
Classic Irish-Style Dry Stout,Bronze,Dry Stout,Cerveza Bohr,
Coffee Beer,Ouro,Jacu,Três Torres Cervejaria,ES
Coffee Beer,Prata,Zumbi Republic - Coffee Edition,Caatinga Rocks,AL
Coffee Beer,Bronze,Amadeus Stout com café,Cervejaria Amadeus,PR
Contemporary American-Style Lager,Ouro,Therezópolis GOLD,Cervejaria Therezópolis,SP
Contemporary American-Style Lager,Prata,Fábula Pilsen,Fábula Cervejas Especiais,TO
Contemporary American-Style Lager,Bronze,Pilsen Premium,Cervejaria Providência,PR
Contemporary American-Style Light Lager,Ouro,Bionda Hop Lager,Bionda Industria de Bebidas,SP
Contemporary American-Style Light Lager,Prata,Bruder Alma Cevada Premium Lager,Cervejaria Bruder,MG
Contemporary American-Style Light Lager,Bronze,Hand Bier German Leichtbier,Hand Bier,SC
Contemporary American-Style Pilsener,Ouro,Hop Lager,OPA Bier,SC
Contemporary American-Style Pilsener,Prata,Fiesta,Hasta Pronto Brewing Co,
Contemporary American-Style Pilsener,Bronze,Hop Lager,Três Torres Cervejaria,ES
Contemporary Belgian-Style Spontaneous Fermented Ale,Ouro,La Birra Fermentação Mista 02,Cervejaria La Birra,SC
Contemporary Belgian-Style Spontaneous Fermented Ale,Prata,Conoscenza,Birrificio Frisanco,SC
Contemporary Belgian-Style Spontaneous Fermented Ale,Bronze,La Birra Fermentação Mista 03,Cervejaria La Birra,SC
Contemporary-Style Gose,Ouro,(048) Gose Caju e Pitaya,Cervejaria 048,SC
Contemporary-Style Gose,Prata,(048) Gose Caju e semente de Coentro,Cervejaria 048,SC
Contemporary-Style Gose,Bronze,Tropical Gose,Hank Bier,PR
Dessert Stout or Pastry Stout,Ouro,"(048) Imperial Stout Banana passa, canela e baunilha",Cervejaria 048,SC
Dessert Stout or Pastry Stout,Prata,Magia Negra - RIS,Dakza Brewing,MG
Dessert Stout or Pastry Stout,Bronze,Dark Desire,Beta Hops Brewing,SP
Dortmunder/European-Style Export,Ouro,1824 Imigração Export,Cervejaria Imigração 1824,RS
Dortmunder/European-Style Export,Prata,Export Lager,OPA Bier,SC
Dortmunder/European-Style Export,Bronze,Curicaca Gold,Cervejaria Flagra,PR
Double Hoppy Red Ale,Ouro,Golden Mist - RED IPA,Golden Mist,PR
Double Hoppy Red Ale,Prata,Saci,Mythic Beer,MG
Double Hoppy Red Ale,Bronze,Caranha,Cervejaria Marlin Azul,ES
"Dutch-Style Kuit, Kuyt or Koyt",Ouro,KAASKOP,Cervejaria Seo Carneiro,SP
"Dutch-Style Kuit, Kuyt or Koyt",Prata,Cutie-Kuyt,Stannis Cervejaria,SC
English-Style Brown Ale,Ouro,Seu Fausto,Cervejaria Divino Malte,PR
English-Style Brown Ale,Prata,BrownSon,Cervejaria Colt Brew,MG
English-Style Brown Ale,Bronze,Red Ale Código de Bar EBA,Cervejaria Karsten,SC
English-Style Dark Mild Ale,Ouro,Delicatessen Avelã Stout,Irmandade Cervejaria Artesanal,PR
English-Style Dark Mild Ale,Prata,Little Porter,Landel,SP
English-Style Dark Mild Ale,Bronze,Dom Rodrigo,Cervejaria Divino Malte,PR
English-Style Summer Ale,Ouro,Roleta Russa Easy IPA,Cervejaria Imigração 1824,RS
English-Style Summer Ale,Prata,Rabugentos Summer Ale,Rabugentos Brewing co.,RJ
English-Style Summer Ale,Bronze,Tio Sun - Summer ale,Cervejaria Colt Brew,MG
European-Style Dark Lager,Ouro,Caraça Dark Lager,Cervejaria Caraça,MG
European-Style Dark Lager,Prata,Musaranho Czech Dark Lager,Cervejaria Musaranho,SC
European-Style Dark Lager,Bronze,Dark Lager,Naipe Brew,MG
Experimental Beer,Ouro,Cappuccino Gelado,Salva Craft Beer,RS
Experimental Beer,Prata,5 Elementos Guava Cheesecake,Cervejaria Turatti,CE
Experimental Beer,Bronze,Compilação Líquida da Experiência Matinal Estadunidense,Captain Brew,MG
Experimental India Pale Ale,Ouro,Bandit,Old Car Brewpub,PR
Experimental India Pale Ale,Prata,Rye Red IPA,Cervejaria Karsten,SC
Experimental India Pale Ale,Bronze,Cabra da Peste,Cervejaria Demonho,SP
Export-Style Stout,Ouro,Monka Kong,Monka Cervejaria,MG
Export-Style Stout,Prata,Mr. Brew - Stout,Mr. Brew Cervejaria,SC
Export-Style Stout,Bronze,La Birra Export Stout,Cervejaria La Birra,SC
Extra Special Bitter,Ouro,Cascahell ESB,Cervejaria Providência,PR
Extra Special Bitter,Prata,Three Monkeys - Peter the Bitter,Three Monkeys Beer,RJ
Extra Special Bitter,Bronze,Arrogante ESB,Tropel,
Field Beer,Ouro,Barbia Cyber - Fruit Kvass,Barnia Cervejaria,SP
Field Beer,Prata,Coconut Porter,Cervejaria Almirante,SC
Field Beer,Bronze,Vai Catar Coquinho,Salva Craft Beer,RS
Finnish-Style Sahti,Ouro,Singing Vikman,Stannis Cervejaria,SC
Franconian-Style Rotbier,Ouro,Jordana Bier Burning Heart Red Lager,Jordana Bier,PR
Franconian-Style Rotbier,Prata,FrankStein,Salva Craft Beer,RS
Franconian-Style Rotbier,Bronze,Ruiva Brew Up,Brew Up Cervejaria,RS
Fresh Hop Beer,Ouro,Fresh Hop - 100% lúpulo nacional,Cervejaria dos Anjos,PR
Fresh Hop Beer,Prata,Citra Dimension,Paloma Craft Beer,RS
Fresh Hop Beer,Bronze,PAÚRA,Cervejaria Demonho,SP
Fruit Wheat Beer,Ouro,Weiss de Goiaba,Cervejaria Hop Bros,AL
Fruit Wheat Beer,Prata,Ava Guava,Stannis Cervejaria,SC
Fruit Wheat Beer,Bronze,Cream Fruit Beer,Cervejaria Karsten,SC
German-Style Altbier,Ouro,Altbier,Naipe Brew,MG
German-Style Altbier,Prata,Psicopata,Cervejaria Flagra,PR
German-Style Altbier,Bronze,Sebastian,Walfänger,SP
German-Style Doppelbock,Ouro,Andaluzita,Pedrosa Craft,MG
German-Style Doppelbock,Prata,Doppelbock Sarau,Cervejaria Sarau,SC
German-Style Doppelbock,Bronze,Doppelbock,Cervejaria Brusque,SC
German-Style Eisbock,Ouro,Karsten Eisbock,Cervejaria Karsten,SC
German-Style Eisbock,Prata,Eisbock,Salva Craft Beer,RS
German-Style Eisbock,Bronze,Bierbaum Eisbock,Bierbaum,SC
German-Style Heller Bock/Maibock,Ouro,FRIDA - Walfänger & Dama Bier,Walfänger,SP
German-Style Koelsch,Ouro,Desierto Summer Kölsch,Cervecería Luthier,
German-Style Koelsch,Prata,Bierbaum Kölsch 18,Bierbaum,SC
German-Style Koelsch,Bronze,Hopefull Anne,Stannis Cervejaria,SC
German-Style Leichtbier,Ouro,Lassberg Leichtbier,Lassberg,SC
German-Style Leichtbier,Prata,Lager,Walfänger,SP
German-Style Leichtbier,Bronze,Leichtbier,Salva Craft Beer,RS
German-Style Leichtes Weizen,Ouro,Therezópolis ELFENBEIN,Cervejaria Therezópolis,SP
German-Style Leichtes Weizen,Prata,14 Weiss,Cervejaria Bohemia,RJ
German-Style Leichtes Weizen,Bronze,Furst Catalina Weiss,Cervejaria Fürst,MG
German-Style Maerzen,Ouro,Walfänger Märzen,Walfänger,SP
German-Style Maerzen,Prata,1906 Milnueve Märzen,Estrella Galicia,
German-Style Maerzen,Bronze,Capital da Amizade,Cervejaria Divino Malte,PR
German-Style Oktoberfest/Festbier,Ouro,Munich Helles,Cervejaria Karsten,SC
German-Style Oktoberfest/Festbier,Prata,Ein Schonner Therese,Stannis Cervejaria,SC
German-Style Oktoberfest/Festbier,Bronze,Walfänger Oktoberfest,Walfänger,SP
German-Style Pilsener,Ouro,FrohenFeld Pils,FrohenFeld Craft Brewery,PR
German-Style Pilsener,Prata,German Lager,OPA Bier,SC
German-Style Pilsener,Bronze,W-Pilsner,Walfänger,SP
German-Style Rye Ale,Ouro,Kreativ Hanna,Stannis Cervejaria,SC
German-Style Schwarzbier,Ouro,Dunkel Premium,Cervejaria Providência,PR
German-Style Schwarzbier,Prata,1824 Imigração Black,Cervejaria Imigração 1824,RS
German-Style Schwarzbier,Bronze,Schwarzbier - Wolfes Bier,Cervejaria Wolfes Bier,SP
Gluten-Free Beer,Ouro,Tá Fit,Naipe Brew,MG
Gluten-Free Beer,Prata,American Lager,Naipe Brew,MG
Gluten-Free Beer,Bronze,Catharina Sour sem glúten,OPA Bier,SC
Golden or Blonde Ale,Ouro,Blond,Cervejaria Sarau,SC
Golden or Blonde Ale,Prata,Chopp Hauk,Cervejaria Hauk,MG
Golden or Blonde Ale,Bronze,Apollo Blonde Ale,Cervejaria Kavalla,PR
Grape Ale,Ouro,Bordô Spritz,Mascaron,RS
Grodziskie,Ouro,Águia Branca,Piwo Cervejaria,ES
Grodziskie,Prata,Corredor Polonês,Cervejaria Karsten,SC
Herb and Spice Beer,Ouro,Helena's Dream,Stannis Cervejaria,SC
Herb and Spice Beer,Prata,Witbier com Maracujá e Manjericão,Cervejaria Green Coast,SC
Herb and Spice Beer,Bronze,Un Bolero de Soledad,Captain Brew,MG
Historical Beer,Ouro,Tendel Stout,Cervejaria Tendel,SC
Imperial Red Ale,Ouro,Lead Kathy,Stannis Cervejaria,SC
International-Style Pale Ale,Ouro,Armarillo,Hank Bier,PR
International-Style Pale Ale,Prata,Nona Iolanda,Cervejaria Divino Malte,PR
International-Style Pale Ale,Bronze,Marchand IPA,Marchand Beer Company,SC
International-Style Pilsener,Ouro,Puma German Lager,Cervejaria Unika,SC
International-Style Pilsener,Prata,Estrella Galicia Lager,Estrella Galicia,
International-Style Pilsener,Bronze,Alfero Pilsen,Cervejaria Alfero,SC
Irish-Style Red Ale,Ouro,Refugiada Irish Red Ale,Nefasta Cervejaria Artesanal,SC
Irish-Style Red Ale,Prata,Donzela Fugitiva,Cervejaria Divino Malte,PR
Irish-Style Red Ale,Bronze,Lassberg Irish Red Ale,Lassberg,SC
Italian Grape Ale,Ouro,Remolino Grape Ale,Cervecería Luthier,
Italian Grape Ale,Prata,Porto Rubi,Cervejaria Almirante,SC
Italian Grape Ale,Bronze,Winebeer,Cervejaria Campos do Jordão,SP
Italian-Style Pilsener,Ouro,Dom Cervejeiro Pils,Casa do Malte,SC
Juicy or Hazy Imperial or Double India Pale Ale,Ouro,Yakima Rising,Marchand Beer Company,SC
Juicy or Hazy Imperial or Double India Pale Ale,Prata,BROWe! Double Hazy IPA,Cervejaria BROWe!,SP
Juicy or Hazy Imperial or Double India Pale Ale,Bronze,Magia Oculta,Cervejaria Demonho,SP
Juicy or Hazy India Pale Ale,Ouro,Yellowstone,Mills Brewery,MG
Juicy or Hazy India Pale Ale,Prata,Sapo de otro pozo,12Brujas,
